Company,Linkedin Page,Org Category,Org Website,Text Content
ABR HOLDINGS LIMITED,https://www.linkedin.com/company/abr-holdings-limited/about,Food & Beverages,http://www.abr.com.sg/,"ABR Holdings Limited (“ABR”) began as the owner and operator of the first full-service Swensen’s ice cream restaurant in Singapore back in 1979. The Swensen’s brand, with over 25 restaurants in Singapore, remains one of the market leaders in the western casual dining category and one of the preferred choices in good value family dining.

Beyond Swensen’s and Earle Swensen's, we also manage and develop a portfolio of well-known food and beverage companies and brands. These include Season Confectionary & Bakery, Season’s Café, Tip Top Curry Puffs, Yogen Früz, and Chilli Padi Nonya Catering."
ABUNDANCE INTERNATIONAL LIMITED,https://www.linkedin.com/company/life-in-abundance-international/about,Non-profit Organizations,https://lifeinabundance.org,"Life In Abundance International (LIA) is an African-founded, African-led, and faith-based organization with over 25 years of experience bringing hope to more than a million people in need.

LIA exists to empower local churches in Africa and the Caribbean to serve the poor and vulnerable, creating sustainable transformation in their communities."
ABUNDANTE LIMITED,https://www.linkedin.com/company/abundanteseguros/about,Insurance,http://www.abundanteseguros.com.br,Abundante Corretora de Seguros - Todos os Ramos
ACCRELIST LTD,https://www.linkedin.com/company/accrelist-ai-tech/about,IT Services and IT Consulting,http://www.weh.sg/,"Our Business scope:
1. -Aesthestics Platform 
2. -Digital Marketing (FB, IG,Wechat)
3. -Door Access System
4. -Unmanned Store"
ACESIAN PARTNERS LIMITED,https://www.linkedin.com/company/acesiansystems/about,Information Technology & Services,http://www.acesiansystems.com,"Created in 2016 as part of the longer-established Acesian Partners group, Acesian Systems is a collective of personnel dedicated to serving the technical needs of the AV and IT Industries."
ACMA LTD,https://www.linkedin.com/company/acma-engineers-pte-ltd/about,HVAC and Refrigeration Equipment Manufacturing,https://www.acmaeng.com.sg/,"Acma Engineers Pte Ltd - Singapore (Hot Line : +65 96696543)
Acma Engineers Co., Ltd- Cambodia (Hot Line : +855 81810333)
Acma Engineers Pvt Ltd - Sri Lanka   (Hot Line : +94 777883388)

Sole Distributor; HITACHI Central Air Conditioning Equipment, Accessories & Spare Parts
Sole Distributor ; KINGSUN Cooling Towers, Accessories & Spare Parts
Sole Distributor ; ICV Valves, Accessories & Spare Parts

About ACMA;
Acma Engineers Pte Ltd (AE) was incorporated in Singapore since 1968. It is a subsidiary of Acma Ltd (Formerly know as China Auto Corporation Ltd), a Public Listed Company in Singapore.


Over the years, AE has imported ranges of Hitachi Air-conditioners from various Hitachi factories around the world like Japan, Taiwan, Philippines, Spain, Malaysia and China. These Hitachi Central Air-conditioners are mainly sold to both the contractors and consumers in the domestic market from the 70’s.
In the early 1980’s, AE established itself as the main exporter for Hitachi Central and domestic air-conditioners to countries like Sri Lanka, Maldives, Papua New Guinea, Indonesia, India, Malaysia, Seychelles, Vietnam, and Russia etc. AE also worked with many trusted contractors in these respective countries.
Under its distributorship, Hitachi becomes one of the best selling and preferred brands in the specialized market in Singapore and around its region.
In 1990’s, with the reform and opening up of policies in PRC market, AE has made inroads into the market by selling compressors and SKD air-conditioners to various appliance manufacturers. In order to provide a better service to its customers and increase in the market share, AE has established a representative office in Shanghai and acquired Acma Engineers Ltd in Hong Kong in 1993.
Through AE’s effort and close rapport with the PRC manufacturers, the company has proudly achieved a turnover of S$50 Million in 1994."
ADVANCED SYSTEMS AUTOMATION LIMITED,https://www.linkedin.com/company/advanced-tech-systems-&-automation-inc-/about,Computers and Electronics Manufacturing,http://www.advancedtech-systems.com,"""Advanced Tech is an electronics, audio/visual, and security
 company that specializes on product sales, installation, service, and long term customer relationships.""​
""Our main goal is customer service and satisfaction. We achieve this by working closely with each client to find out not only their needs, but what they value in a business relationship. We don't force our clients into cookie cutter products, instead we work diligently to customize solutions for their needs. We don't force our clients into long term contracts and we don't use proprietary products that limit our clients'​ ability to move in other directions if they see fit. We live by and truly believe if we can't earn your business we don't deserve your business.""​"
ALLIANCE HEALTHCARE GROUP LIMITED,https://www.linkedin.com/company/alliance-healthcare-group-singapore/about,Hospitals and Health Care,https://www.alliancehealthcare.com.sg,"As a physician-led and physician-owned healthcare organisation, we know what is important to those who matter to us - our patients. Here at Alliance, keeping our patients happy and healthy is our top priority.

Alliance is a reliable medical brand with both GP and in-house specialist clinics, a corporate healthcare provider and a leading wholesale pharmaceutical company facilitating timely access of cutting-edge medications to the region. 

Our network of friendly family doctors and medical specialists provide a safe haven for our patients to get treatment for their health problems.

Since our inception in 1994, Alliance has grown from a humble clinic into an integrated healthcare organisation that leverages on technology to provide a broad suite of healthcare services primarily in Singapore. We use intelligence from patient data to gain insights into disease trends and healthcare utilisation, which empower our corporate clients and insurance partners to maximise their returns on their health dollar as well as improve the delivery of healthcare. 

At Alliance, we harness the power of technology and data to provide cost-effective and efficient services for all our patients and corporate clients. 

For more information, visit our website https://www.alliancehealthcare.com.sg/"
ANNAIK LIMITED,https://www.linkedin.com/company/annaik-limited/about,Retail Office Equipment,http://www.annaik.com,AnnAik
AP OIL INTERNATIONAL LIMITED,https://www.linkedin.com/company/ap-oil-international-limited/about,Chemical Manufacturing,http://www.apoil.com.sg,"AP Oil International Limited, formerly known as Huan Chew Oil Trading Pte Ltd, we have three lubricant blending plants (two in Singapore, one in Vietnam) producing a wide range of lubricants for automotive, industrial and marine applications. Our lubricant products are marketed under the brand name of AP Oil and SINO (literally signifying Singapore Oils)."
BEST WORLD INTERNATIONAL LIMITED,https://www.linkedin.com/company/best-world-international-ltd/about,Personal Care Product Manufacturing,http://www.bestworld.com.sg/,"Founded in 1990, Best World International is a Singapore headquartered company specialising in the development and distribution of premium skin care, personal care, beauty, health and wellness brands.

Best World dedicates itself to the scientific research and development of innovative solutions, manufacture and distribution of quality brands of products, through diversified channels, and constantly enhancing the customer experience with our products and services.

Since inception, Best World has grown in strides to become a key regional player in the industry, having subsidiaries, joint venture and associate companies in 12 markets, with customers from 40 markets in Asia, Oceania, Middle East, North America and Europe."
BRC ASIA LIMITED,https://www.linkedin.com/company/brc-asia-limited/about,Construction,http://www.brc.com.sg,"BRC Asia Limited, listed on the Singapore Exchange (SGX) since 2000, is an established pioneer in prefabricated steel reinforcement. Since our incorporation in 1938, we have developed our expertise to become a leading steel reinforcement solutions provider in Asia. 

In 2018, we acquired SGX-listed Lee Metal, and became the market leader in Singapore with more than 60% market share. Our operations and businesses today cover Singapore, Malaysia and China, supported by more than 1,000 employees."
CAMSING HEALTHCARE LIMITED,linkedin page not found,,,
CASA HOLDINGS LIMITED,https://www.linkedin.com/company/casa-holdings/about,Wholesale Furniture and Home Furnishings,https://casa.sg/,"At Casa, we want to make every homemaker’s journey as enjoyable as possible, and this is why we always go above and beyond to deliver satisfaction."
CH OFFSHORE LTD,https://www.linkedin.com/company/ch-offshore-ltd/about,710  followers,http://www.choffshore.com.sg/,
CHEMICAL INDUSTRIES (FAR EAST) LIMITED,https://www.linkedin.com/company/chemical-industries-far-east-ltd/about,Chemical Manufacturing,http://cil.com.sg,"Chemical Industries (Far East) Limited (""CIL"") was established in 1963 as a manufacturer of chlorine, caustic soda and other chlor-alkali products in Singapore. CIL was established as a pioneer company to underpin the industrialization efforts of Singapore, and continues to be the prime supplier of basic chemicals to the petro-chemical, pharmaceutical, electronics and water-treatment industries. CIL is also a friend of water and has been supporting every stage of Singapore’s journey towards water independence by providing key chemicals for the city state’s water purification processes."
CHINA AVIATION OIL (SINGAPORE) CORPORATION LTD,https://www.linkedin.com/company/china-aviation-oil-singapore-corporation-limited/about,Oil and Gas,http://www.caosco.com/home,"China Aviation Oil (Singapore) Corporation Ltd (“CAO”,  “the Company” or “the Group”), incorporated in Singapore on 26 May 1993 and listed on the Mainboard of the Singapore Exchange Securities Trading Limited since 2001, is the largest physical jet fuel trader in the Asia Pacific region and key supplier of imported jet fuel to the civil aviation industry of the People’s Republic of  China (“PRC”).

Headquartered in Singapore with a strong and growing presence at key international aviation hubs in Hong Kong SAR, Los Angeles and London; with an entrenched presence in China, CAO and its wholly owned subsidiaries (the “Group”), China Aviation Oil (Hong Kong) Company Limited (“CAOHK”), North American Fuel Corporation (“NAFCO”) and China Aviation Fuel (Europe) Limited (“CAFEU”) supply jet fuel to airline companies in Asia Pacific, North America, Europe and the Middle East.  The Group also engages in international trading of jet fuel and other oil products. 

OUR MISSION
To Create Value for Shareholders 
To Provide Professional Development for Employees 
To Contribute to Society

OUR VISION
To be an innovative top-tier company, underpinned by oil-related investments and fuelled by our “twin engines growth strategy” in the jet fuel and other oil products businesses. 

CORPORATE VALUES
Excellence: To Strive for Excellence in Every Detail
Innovation: Proponent and Leader of Innovation and Change 
Diversity:  Respecting and Valuing Differences
Integrity: Growing our Businesses through Trust and Honesty

TALENT CONCEPT
Valuing talents
Shaping the quality of talents
Developing talents

FAIR EMPLOYMENT PRACTICES
Adhering to the Tripartite Guidelines for Fair Employment Practices (TAFEP) and Fair Consideration Framework (FCF), CAO provides equal employment opportunities to candidates of all ethnic backgrounds, selects and matches candidates in a fair and open manner based on their abilities."
CITY DEVELOPMENTS LIMITED,https://www.linkedin.com/company/citydevelopments/about,Real Estate,https://www.cdl.com.sg/,"City Developments Limited (CDL) is a leading global real estate company with a network spanning 163 locations in 29 countries and regions. Listed on the Singapore Exchange, the Group is one of the largest companies by market capitalisation. Its income-stable and geographically-diverse portfolio comprises residences, offices, hotels, serviced apartments, student accommodation, retail malls and integrated developments.

With a proven track record of 60 years in real estate development, investment and management, the Group has developed over 50,000 homes and owns around 23 million square feet of gross floor area in residential for lease, commercial and hospitality assets globally. 

Along with its London-based hotel arm, Millennium & Copthorne Hotels Limited (M&C), the Group has over 155 hotels worldwide, many in key gateway cities."
CORTINA HOLDINGS LIMITED,https://www.linkedin.com/company/cortina-holdings-ltd/about,,http://www.cortina.com.sg/,
